time,open,high,low,close,MA,Volume,Volume MA
2024-09-02,2502.84,2507.33,2490.105,2499.42,2479.0362500000024,127916,223489.8
2024-09-03,2499.55,2506.35,2473.325,2492.95,2484.1772500000025,241125,218526.4
2024-09-04,2492.62,2500.345,2471.915,2495.545,2489.8090000000025,209334,214453.8
2024-09-05,2495.32,2523.525,2493.88,2516.815,2494.2862500000024,217513,212076.65
2024-09-06,2516.46,2529.3,2485.19,2497.565,2497.6012500000024,264809,214162.7
2024-09-09,2496.79,2507.265,2485.61,2506.395,2499.3150000000023,222295,216270.4
2024-09-10,2506.73,2518.535,2500.19,2516.735,2501.899000000002,207602,216393.4
2024-09-11,2516.55,2529.09,2501,2511.675,2505.0852500000024,270422,218710.5
2024-09-12,2512.945,2560.13,2511.095,2558.655,2510.1907500000025,241962,219500.15
2024-09-13,2558.38,2586.16,2556.795,2578.715,2513.7195000000024,251812,220898.85
2024-09-16,2578.79,2589.715,2575.245,2582.665,2517.6385000000023,179045,218837.9
2024-09-17,2582.66,2587.02,2560.78,2569.59,2520.412500000002,202235,217485.75
2024-09-18,2570.325,2600.29,2546.86,2559.3,2522.765000000002,270952,220378.95
2024-09-19,2559.235,2594.945,2551.16,2586.91,2527.8745000000026,296927,224101.35
2024-09-20,2586.52,2625.79,2584.875,2622.235,2533.3617500000023,272796,226236.25
2024-09-23,2621.365,2634.905,2613.89,2628.63,2538.8955000000024,226647,227661.75
2024-09-24,2627.79,2664.38,2622.68,2657.26,2545.5172500000026,280786,231632.1
2024-09-25,2658.69,2670.605,2649.7,2656.995,2553.1335000000026,250522,233880.6
2024-09-26,2657.74,2685.64,2654.84,2672.435,2560.6945000000023,280327,236906.2
2024-09-27,2672.235,2674.375,2643.155,2658.55,2568.4520000000025,297822,240642.45
2024-09-30,2661.815,2666.05,2624.78,2634.69,2575.2155000000025,295187,249006
2024-10-01,2633.53,2673.26,2633.31,2663.61,2583.7485000000024,243087,249104.1
2024-10-02,2661.92,2663.445,2641.18,2658.75,2591.9087500000023,252533,251264.05
2024-10-03,2658.77,2663.015,2637.015,2656.11,2598.8735000000024,381668,259471.8
2024-10-04,2655.95,2670.24,2632.015,2653.84,2606.687250000002,474423,269952.5
2024-10-07,2651.39,2659.66,2637.77,2642.585,2613.4967500000025,461688,281922.15
2024-10-08,2642.085,2653.115,2604.82,2621.965,2618.7582500000026,599675,301525.8
2024-10-09,2622.11,2624.375,2605.21,2607.735,2623.561250000003,460186,311014
2024-10-10,2607.735,2631.565,2604.39,2629.92,2627.1245000000026,479519,322891.85
2024-10-11,2628.62,2661.475,2628.18,2657.18,2631.0477500000025,381985,329400.5
2024-10-14,2648.805,2666.875,2643.245,2648.785,2634.353750000003,353209,338108.7
2024-10-15,2649.215,2668.965,2638.105,2662.695,2639.0090000000027,477257,351859.8
2024-10-16,2662.285,2685.465,2658.8,2673.93,2644.7405000000026,442655,360444.95
2024-10-17,2674.605,2696.8,2673.165,2693.01,2650.045500000003,475273,369362.25
2024-10-18,2693.045,2722.65,2692.395,2721.9,2655.028750000003,465216,378983.25
2024-10-21,2723.09,2740.6,2714.235,2719.675,2659.5810000000033,528355,394068.65
2024-10-22,2719.36,2748.975,2719.16,2748.96,2664.1660000000034,443984,402228.55
2024-10-23,2747.33,2758.525,2708.755,2715.59,2667.095750000003,512450,415324.95
2024-10-24,2716.415,2743.325,2716.215,2736.08,2670.278000000003,447229,423670.05
2024-10-25,2735.95,2747.835,2717.1,2747.215,2674.711250000003,394346,428496.25
2024-10-28,2734.065,2746.01,2724.755,2742.325,2680.093000000003,374072,432440.5
2024-10-29,2741.45,2774.885,2739.87,2774.58,2685.641500000003,435600,442066.15
